content_category_brid.content_id,content_category_brid.category_id,content_category_brid.content_type_key,content_category_brid.content_key,content_category_brid.category_key,content_category_brid.status,content_category_brid.updated_time,content_category_brid.last_mofidied
30618,43,1,13417,88,ACT,2021-03-29 08:37:28.0,2021-03-30 11:21:14.0
30618,71,1,13417,41,ACT,2021-03-29 08:37:28.0,2021-03-30 11:21:14.0
30618,83,1,13417,49,ACT,2021-03-29 08:37:28.0,2021-03-30 11:21:14.0
30652,110,1,13419,30,ACT,2021-03-30 07:52:36.0,2021-03-30 11:21:14.0
30652,141,1,13419,42,ACT,2021-03-30 07:52:36.0,2021-03-30 11:21:14.0
30655,41,1,13415,40,ACT,2021-03-30 08:03:00.0,2021-03-30 11:21:14.0
30655,71,1,13415,41,ACT,2021-03-30 08:03:00.0,2021-03-30 11:21:14.0
30658,309,1,13416,1,ACT,2021-03-30 08:05:16.0,2021-03-30 11:21:14.0
30660,309,1,13420,1,ACT,2021-03-30 08:18:26.0,2021-03-30 11:21:14.0
30660,310,1,13420,1,ACT,2021-03-30 08:18:26.0,2021-03-30 11:21:14.0
30663,79,1,13421,100,ACT,2021-03-30 21:53:22.0,2021-03-31 11:21:14.0
30663,147,1,13421,105,ACT,2021-03-30 21:53:22.0,2021-03-31 11:21:14.0
30663,150,1,13421,46,ACT,2021-03-30 21:53:22.0,2021-03-31 11:21:14.0
30666,309,1,13424,1,ACT,2021-03-31 08:11:13.0,2021-03-31 11:21:14.0
30666,310,1,13424,1,ACT,2021-03-31 08:11:13.0,2021-03-31 11:21:14.0
30669,73,1,13428,101,ACT,2021-04-01 08:12:34.0,2021-04-01 11:21:14.0
30669,155,1,13428,26,ACT,2021-04-01 08:12:34.0,2021-04-01 11:21:14.0
30672,45,1,13431,47,ACT,2021-04-01 08:12:45.0,2021-04-01 11:21:14.0
30672,125,1,13431,75,ACT,2021-04-01 08:12:45.0,2021-04-01 11:21:14.0
30673,45,1,13433,47,ACT,2021-04-01 08:12:54.0,2021-04-01 11:21:14.0
30673,125,1,13433,75,ACT,2021-04-01 08:12:54.0,2021-04-01 11:21:14.0
30675,45,1,13429,47,ACT,2021-04-01 08:13:42.0,2021-04-01 11:21:14.0
30675,125,1,13429,75,ACT,2021-04-01 08:13:42.0,2021-04-01 11:21:14.0
30670,45,1,13430,47,ACT,2021-04-01 08:17:38.0,2021-04-01 11:21:14.0
30670,125,1,13430,75,ACT,2021-04-01 08:17:38.0,2021-04-01 11:21:14.0
30676,79,1,13432,100,ACT,2021-04-01 08:20:30.0,2021-04-01 11:21:14.0
30676,147,1,13432,105,ACT,2021-04-01 08:20:30.0,2021-04-01 11:21:14.0
30679,79,1,13436,100,ACT,2021-04-02 07:32:41.0,2021-04-02 11:21:15.0
30679,146,1,13436,45,ACT,2021-04-02 07:32:41.0,2021-04-02 11:21:15.0
30679,153,1,13436,106,ACT,2021-04-02 07:32:41.0,2021-04-02 11:21:15.0
30682,309,1,13437,1,ACT,2021-04-02 08:05:36.0,2021-04-02 11:21:15.0
30687,79,1,13440,100,ACT,2021-04-02 17:52:53.0,2021-04-03 11:21:13.0
30687,147,1,13440,105,ACT,2021-04-02 17:52:53.0,2021-04-03 11:21:13.0
30690,79,1,13442,100,ACT,2021-04-02 17:53:20.0,2021-04-03 11:21:13.0
30690,147,1,13442,105,ACT,2021-04-02 17:53:20.0,2021-04-03 11:21:13.0
30691,309,1,13441,1,ACT,2021-04-02 17:53:33.0,2021-04-03 11:21:13.0
30700,43,1,13443,88,ACT,2021-04-02 18:17:03.0,2021-04-03 11:21:13.0
30700,71,1,13443,41,ACT,2021-04-02 18:17:03.0,2021-04-03 11:21:13.0
30688,79,1,13444,100,ACT,2021-04-03 07:16:19.0,2021-04-03 11:21:13.0
30688,147,1,13444,105,ACT,2021-04-03 07:16:19.0,2021-04-03 11:21:13.0
30703,43,1,13452,88,ACT,2021-04-05 08:29:45.0,2021-04-05 11:21:13.0
30703,71,1,13452,41,ACT,2021-04-05 08:29:45.0,2021-04-05 11:21:13.0
30703,83,1,13452,49,ACT,2021-04-05 08:29:45.0,2021-04-05 11:21:13.0
30739,79,1,13454,100,ACT,2021-04-05 08:35:34.0,2021-04-05 11:21:13.0
30739,147,1,13454,105,ACT,2021-04-05 08:35:34.0,2021-04-05 11:21:13.0
30739,150,1,13454,46,ACT,2021-04-05 08:35:34.0,2021-04-05 11:21:13.0
30720,71,1,13451,41,ACT,2021-04-05 08:39:16.0,2021-04-05 11:21:13.0
30720,315,1,13451,1,ACT,2021-04-05 08:39:16.0,2021-04-05 11:21:13.0
30736,79,1,13453,100,ACT,2021-04-05 08:42:18.0,2021-04-05 11:21:13.0
30736,147,1,13453,105,ACT,2021-04-05 08:42:18.0,2021-04-05 11:21:13.0
30747,41,1,13463,40,ACT,2021-04-06 07:54:10.0,2021-04-06 11:21:13.0
30747,71,1,13463,41,ACT,2021-04-06 07:54:10.0,2021-04-06 11:21:13.0
30748,79,1,13466,100,ACT,2021-04-06 07:54:15.0,2021-04-06 11:21:13.0
30748,146,1,13466,45,ACT,2021-04-06 07:54:15.0,2021-04-06 11:21:13.0
30748,149,1,13466,76,ACT,2021-04-06 07:54:15.0,2021-04-06 11:21:13.0
30748,153,1,13466,106,ACT,2021-04-06 07:54:15.0,2021-04-06 11:21:13.0
30751,309,1,13465,1,ACT,2021-04-06 08:13:14.0,2021-04-06 11:21:13.0
30753,309,1,13464,1,ACT,2021-04-06 08:36:59.0,2021-04-06 11:21:13.0
30753,310,1,13464,1,ACT,2021-04-06 08:36:59.0,2021-04-06 11:21:13.0
30756,79,1,13470,100,ACT,2021-04-06 18:28:26.0,2021-04-07 11:21:14.0
30756,146,1,13470,45,ACT,2021-04-06 18:28:26.0,2021-04-07 11:21:14.0
30756,149,1,13470,76,ACT,2021-04-06 18:28:26.0,2021-04-07 11:21:14.0
30756,153,1,13470,106,ACT,2021-04-06 18:28:26.0,2021-04-07 11:21:14.0
30772,309,1,13471,1,ACT,2021-04-07 13:21:40.0,2021-04-07 23:21:16.0
30772,310,1,13471,1,ACT,2021-04-07 13:21:40.0,2021-04-07 23:21:16.0
30766,73,1,13472,101,ACT,2021-04-07 13:22:01.0,2021-04-07 23:21:16.0
30766,94,1,13472,93,ACT,2021-04-07 13:22:01.0,2021-04-07 23:21:16.0
30763,35,1,13474,60,ACT,2021-04-07 13:22:08.0,2021-04-07 23:21:16.0
30763,95,1,13474,89,ACT,2021-04-07 13:22:08.0,2021-04-07 23:21:16.0
30769,79,1,13473,100,ACT,2021-04-07 21:23:04.0,2021-04-07 23:21:16.0
30769,147,1,13473,105,ACT,2021-04-07 21:23:04.0,2021-04-07 23:21:16.0
30774,35,1,13480,60,ACT,2021-04-08 08:04:54.0,2021-04-08 11:21:11.0
30774,89,1,13480,50,ACT,2021-04-08 08:04:54.0,2021-04-08 11:21:11.0
30777,73,1,13481,101,ACT,2021-04-08 08:05:18.0,2021-04-08 11:21:11.0
30777,155,1,13481,26,ACT,2021-04-08 08:05:18.0,2021-04-08 11:21:11.0
30778,79,1,13479,100,ACT,2021-04-08 08:14:37.0,2021-04-08 11:21:11.0
30778,147,1,13479,105,ACT,2021-04-08 08:14:37.0,2021-04-08 11:21:11.0
30781,79,1,13478,100,ACT,2021-04-08 08:23:56.0,2021-04-08 11:21:11.0
30781,146,1,13478,45,ACT,2021-04-08 08:23:56.0,2021-04-08 11:21:11.0
30784,309,1,13482,1,ACT,2021-04-08 13:58:50.0,2021-04-08 23:21:15.0
30784,310,1,13482,1,ACT,2021-04-08 13:58:50.0,2021-04-08 23:21:15.0
30786,71,1,13488,41,ACT,2021-04-09 07:55:20.0,2021-04-09 11:21:13.0
30786,84,1,13488,109,ACT,2021-04-09 07:55:20.0,2021-04-09 11:21:13.0
30787,79,1,13485,100,ACT,2021-04-09 07:57:44.0,2021-04-09 11:21:13.0
