category_dim.category_key,category_dim.category_id,category_dim.category_name,category_dim.parent_key,category_dim.parent_id,category_dim.content_type_key,category_dim.ordering,category_dim.status,category_dim.created_time,category_dim.created_by,category_dim.updated_time,category_dim.updated_by,category_dim.cmc_id,category_dim.valid_from,category_dim.valid_to,category_dim.version,category_dim.current,category_dim.last_mofidied
205,353,Cách mạng,200,342,1,0,ACT,2022-10-31 10:39:11.0,214,2022-10-31 10:39:11.0,214,353,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-11-04 01:29:43.0
103,92,Tổng hợp,1,0,1,7,ACT,2016-02-23 08:48:03.0,214,2022-10-09 21:10:10.0,214,92,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-13 02:41:51.0
104,117,Bài học cuộc sống,47,45,1,0,ACT,2016-02-23 09:02:32.0,4,2016-12-01 16:28:38.0,113,117,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
105,147,Hiện đại,100,79,1,0,ACT,2016-11-28 14:39:06.0,113,2016-12-01 16:28:38.0,113,147,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
106,153,Huyền ảo,100,79,1,0,ACT,2016-11-28 14:40:52.0,113,2016-12-01 16:28:38.0,113,153,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
107,56,Chăm sóc sức khỏe,72,138,1,0,ACT,2015-03-19 13:42:14.0,1,2016-12-01 16:30:30.0,113,56,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
108,77,Văn Học Mạng,1,0,1,0,ACT,2016-02-23 08:20:27.0,4,2016-12-01 16:30:30.0,113,77,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-15 16:36:06.0
109,84,Tự truyện,41,71,1,0,ACT,2016-02-23 08:44:20.0,4,2016-12-01 16:30:30.0,113,84,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
110,177,Truyện đọc,82,176,1,0,ACT,2017-03-02 13:25:41.0,214,2017-03-10 16:41:37.0,214,177,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
111,185,Hạt giống tâm hồn,82,176,1,0,ACT,2017-03-02 13:35:26.0,214,2017-03-10 16:42:09.0,214,185,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2017-09-18 08:37:59.0
112,191,Truyện nam,1,0,1,0,ACT,2019-05-14 09:42:02.0,214,2019-07-18 09:10:37.0,214,191,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
113,192,Truyện Nữ,1,0,1,0,ACT,2019-05-14 09:44:48.0,214,2019-07-18 08:32:00.0,214,192,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
114,195,Truyện CP,1,0,1,0,ACT,2019-05-14 09:45:16.0,214,2019-07-18 08:33:16.0,214,195,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
115,197,Truyện Non CP,1,0,1,0,ACT,2019-05-14 09:46:10.0,214,2019-07-18 08:34:59.0,214,197,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2021-09-17 20:08:38.0
116,199,Hiện đại,1,0,1,0,ACT,2019-05-14 09:48:07.0,214,2022-10-11 22:26:53.0,214,199,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2022-10-14 02:38:53.0
117,201,Cổ đại,112,191,1,0,ACT,2019-05-14 09:48:49.0,214,2019-07-18 09:12:11.0,214,201,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-07-18 11:20:53.0
118,202,Huyền ảo,112,191,1,0,ACT,2019-05-14 09:49:27.0,214,2019-07-18 09:48:41.0,214,202,2000-01-01 00:00:00.0,2200-01-01 00:00:00.0,1,1,2019-07-18 11:20:53.0
